NN_Nodes,RMSE,MAE,MAPE
node_4,8203.11709,6471.704004,59.11202774
node_5,7072.791797,5274.609082,51.16472931
node_6,7335.614111,5597.333398,54.50024948
node_7,6146.938232,4489.313354,45.34670639
node_8,5940.875342,4303.817236,43.87152939
node_10,5573.834863,3987.099194,41.47332649
node_12,5389.542188,3844.239478,40.31800346
node_14,5254.546826,3741.569995,39.60326881
node_16,5077.989063,3585.9177,38.4978775
node_18,5026.362451,3543.804688,38.18059578
node_20,4996.707422,3519.207593,38.04794579
node_25,4883.563672,3436.145801,37.66187916
node_30,4826.159473,3393.46228,37.35181484
node_40,4790.100732,3366.343799,37.37378902
node_50,4756.506445,3342.033496,37.23859577
node_60,4754.97583,3342.289941,37.38807735
node_70,4749.651221,3334.882544,37.29049225
node_80,4746.194824,3333.197559,37.17632618
node_100,4737.874512,3324.022949,37.25878296
